state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,4,2500,2500,2500,31-Jan-23
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1000,1000,1000,01-Jan-23
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,1000,1000,1000,16-Oct-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,1,1000,1000,1000,02-Oct-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,1,2000,2000,2000,27-Sep-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,900,900,900,18-Sep-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,900,900,900,07-Sep-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,945,945,945,17-Aug-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,8,1100,1100,1100,05-Jan-22
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,38,1500,1500,1500,01-Sep-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,2000,2000,2000,14-Aug-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1400,1400,1400,10-Aug-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1000,1000,1000,19-Feb-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,15,1400,1400,1400,03-Feb-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1200,1200,1200,04-Jan-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,02-Jan-21
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,02-Dec-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,35,1000,1000,1000,01-Dec-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,8,1000,1000,1000,30-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,1000,1000,1000,26-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,11-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,10-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1000,1000,1000,09-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,06-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,05-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1000,1000,1000,03-Nov-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,28-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,22-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1000,1000,1000,19-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,14-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1000,1000,1000,12-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,09-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,07-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1000,1000,1000,05-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,14,1000,1000,1000,03-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,25,1500,1500,1500,01-Oct-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,11,1100,1100,1100,29-Sep-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1000,1000,1000,25-Sep-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,1000,1000,1000,23-Sep-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,8,1000,1000,1000,28-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,1200,1200,1200,10-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,1200,1200,1200,07-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,1200,1200,1200,06-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,24,1200,1200,1200,05-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,15,1200,1200,1200,03-Aug-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,1200,1200,1200,31-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,2000,2000,2000,28-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,2000,2000,2000,27-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,15,1000,1500,1000,23-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,16,1000,1000,1000,22-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,31,1000,1500,1000,20-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1500,1500,1500,17-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,23,1500,2000,1500,15-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,2000,2000,2000,14-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,46,1500,2000,1500,11-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,16,1500,1500,1500,10-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,19,1000,1500,1500,09-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,21,1500,2000,1500,08-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,24,1500,2000,1600,07-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,26,1500,2000,1600,05-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,17,1500,1500,1500,04-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,3,2000,2000,2000,03-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1500,2000,1700,02-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,67,1500,2000,2000,01-Jul-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,2,1500,1500,1500,30-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,29-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,11,1500,2000,1500,28-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1500,2000,1500,26-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1500,1500,1500,25-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,11,1500,2000,1500,24-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,23-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,22-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,20,1500,2000,1500,21-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,2000,2000,2000,20-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,19-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1500,2000,1500,18-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,17,1500,2000,1500,17-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,15,1500,1500,1500,16-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,15-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,19,1500,1500,1500,14-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,13,1500,1500,1500,13-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,17,1500,1500,1500,11-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1500,2000,1500,10-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1500,1500,1500,09-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,23,1500,1500,1500,08-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,5,1500,1500,1500,06-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,12,1500,1500,1500,05-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,10,1500,1500,1500,04-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,6,1500,1500,1500,03-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,1500,1500,1500,02-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,11,2000,2000,2000,01-Jun-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,8,2000,2000,2000,28-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,2,2000,2000,2000,27-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,1,2000,2000,2000,25-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,21,2000,2000,2000,21-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,2,2000,2000,2000,18-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,16,2000,2000,2000,17-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,7,2000,2000,2000,15-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,9,2000,2000,2000,14-May-20
Karnataka,Hassan,Arakalgud,Green Ginger,Vegetables,4,2000,2000,2000,13-May-20
